"Barcode","MaterialCode","MaterialName","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQQ103R072702","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1065.00000","","2026-08-16 06:01:49"
"VVQQ103R072704","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1071.00000","","2026-08-16 06:02:06"
"VVQQ103R072719","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1068.00000","","2026-08-15 09:05:11"
"VVQQ123R072708","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1070.00000","","2026-08-16 06:00:56"
"VVQQ133R060651","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 16:18:23"
"VVQQ133R060654","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 16:25:38"
"VVQQ133R060658","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 23:35:37"
"VVQQ133R060660","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 16:18:00"
"VVQQ133R060661","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 20:43:06"
"VVQQ133R060662","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-17 16:38:02"
"VVQQ133R060666","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 20:43:52"
"VVQQ133R060668","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-16 01:50:17"
"VVQQ133R060669","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 16:17:51"
"VVQQ133R060670","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 20:43:43"
"VVQQ133R060672","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","494.00000","1","2026-08-16 14:05:18"
"VVQQ133R060673","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 22:42:31"
"VVQQ133R060675","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","494.00000","1","2026-08-16 13:43:52"
"VVQQ133R060676","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 21:12:08"
"VVQQ133R060677","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","494.00000","1","2026-08-15 20:44:27"
"VVQQ133R060680","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","494.00000","1","2026-08-16 01:50:31"
"VVQQ133R060681","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 22:42:12"
"VVQQ133R060683","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 23:34:58"
"VVQQ133R060684","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 20:44:54"
"VVQQ133R060685","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-16 00:40:24"
"VVQQ133R060686","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 16:18:14"
